,Dataset,Accuracy,Auc,F1 Score,Sample
0,camera2,0.9315403422982885,0.9457127102288394,0.947565543071161,0.1
0,camera4,0.9384429692214846,0.9410900590260116,0.9436464088397791,0.1
0,camera6,0.9422598307615729,0.9425585197900401,0.9444444444444444,0.1
0,camera8,0.9443290402991276,0.9449031687333526,0.9470774091627173,0.1
0,PUC,0.9493199443697994,0.9512822239385759,0.9460990774167669,0.1
0,B,0.8268330733229329,0.8404062312435204,0.8784227820372398,0.1
