,Dataset,Accuracy,Auc,F1 Score,Sample
0,camera2,0.882640586797066,0.8975461814171491,0.908745247148289,0.1
0,camera4,0.8974049487024743,0.9031541655330676,0.9034090909090909,0.1
0,camera6,0.9113987058237929,0.9120588913127269,0.9140096618357488,0.1
0,camera8,0.9081844619858745,0.9091185144820529,0.9120573020294468,0.1
0,PUC,0.934540225820899,0.9374626781424003,0.9312776856640849,0.1
0,B,0.7753510140405616,0.799851312271512,0.837471783295711,0.1
