               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10558,             0.19099,            0.022081,             0.31886,              0.5079,             0.37503,             0.12688,            0.085084,               0.183,            0.015733,            0.070135,           0.0033183,           0.0033183
                   1,             0.08546,             0.17077,             0.01428,             0.54339,             0.63375,             0.61305,             0.22453,            0.072121,             0.17098,            0.010943,            0.038818,           0.0053346,           0.0053346
                   2,            0.083589,             0.16514,            0.011228,             0.55797,             0.67308,             0.62475,             0.20386,            0.070091,              0.1725,           0.0088581,           0.0061811,           0.0060309,           0.0060309
                   3,            0.073031,             0.16198,           0.0095943,             0.61993,              0.7651,             0.68089,             0.23967,            0.069109,             0.16561,           0.0079795,             0.00406,             0.00406,             0.00406
                   4,            0.072127,             0.15559,            0.008715,             0.76842,             0.79537,             0.81742,             0.33346,            0.062716,             0.16194,           0.0073805,             0.00406,             0.00406,             0.00406
